file,N,Y,Yl,Yh
cnf/sundermann/systems_software/sparclite_sim/Knüppel2017.cnf, 10000, 1.8804e+118, -1.51513e+117, 3.91232e+118
cnf/sundermann/systems_software/mcb2100/Berger2013.cnf, 10000, 8.47603e+124, -8.56742e+124, 2.55195e+125
cnf/sundermann/systems_software/mcb2100/Knüppel2017.cnf, 10000, 1.12567e+124, -7.11724e+123, 2.96307e+124
cnf/sundermann/systems_software/cerf/Berger2013.cnf, 10000, 2.98052e+125, -7.24854e+123, 6.03353e+125
cnf/sundermann/systems_software/cerf/Knüppel2017.cnf, 10000, 1.13965e+126, -4.0468e+125, 2.68398e+126
cnf/sundermann/systems_software/aki3068net/Berger2013.cnf, 10000, 2.10967e+121, -1.31336e+120, 4.35067e+121
cnf/sundermann/systems_software/aki3068net/Knüppel2017.cnf, 10000, 2.09405e+121, -1.05142e+121, 5.23952e+121
cnf/sundermann/systems_software/smdk2410/Berger2013.cnf, 10000, 5.71197e+130, -6.02987e+129, 1.20269e+131
cnf/sundermann/systems_software/smdk2410/Knüppel2017.cnf, 10000, 8.79508e+130, -5.05267e+130, 2.26428e+131
cnf/sundermann/systems_software/uClibc/Knüppel2017.cnf, 10000, 1.65708e+40, 1.65342e+40, 1.66073e+40
cnf/sundermann/systems_software/uClibc/Oh2020-ng_1_0_29.cnf, 10000, 8.08435e+36, 7.64071e+36, 8.52799e+36
cnf/sundermann/systems_software/uClibc/Pett2023-2020-12-24_11-54-53.cnf, 10000, 5.22527e+25, 4.92895e+25, 5.52158e+25
cnf/sundermann/systems_software/ts6/Berger2013.cnf, 10000, 1.83787e+126, -2.81129e+125, 3.95687e+126
cnf/sundermann/systems_software/ts6/Knüppel2017.cnf, 10000, 4.93202e+127, -6.4978e+127, 1.63618e+128
cnf/sundermann/systems_software/am31_sim/Berger2013.cnf, 10000, 7.46443e+117, -6.0225e+116, 1.55311e+118
cnf/sundermann/systems_software/am31_sim/Knüppel2017.cnf, 10000, 2.65227e+117, -1.96026e+116, 5.50057e+117
cnf/sundermann/systems_software/mace1/Berger2013.cnf, 10000, 8.01111e+122, -4.3472e+122, 2.03694e+123
cnf/sundermann/systems_software/mace1/Knüppel2017.cnf, 10000, 1.58765e+122, -9.83472e+121, 4.15876e+122
cnf/sundermann/systems_software/mac7100evb/Berger2013.cnf, 10000, 1.82261e+123, -1.03154e+123, 4.67677e+123
cnf/sundermann/systems_software/mac7100evb/Knüppel2017.cnf, 10000, 2.9952e+122, -3.37513e+122, 9.36553e+122
cnf/sundermann/systems_software/ea2468/Berger2013.cnf, 10000, 3.45244e+130, -8.3912e+129, 7.74401e+130
cnf/sundermann/systems_software/ea2468/Knüppel2017.cnf, 10000, 2.46031e+130, -9.08528e+129, 5.82915e+130
cnf/sundermann/systems_software/refidt334/Berger2013.cnf, 10000, 3.08074e+134, -2.44249e+134, 8.60396e+134
cnf/sundermann/systems_software/refidt334/Knüppel2017.cnf, 10000, 3.72249e+133, -2.97897e+133, 1.0424e+134
cnf/sundermann/systems_software/BusyBox/Oh2020-1_28_0.cnf, 10000, 1.2594e+248, 1.09996e+248, 1.41884e+248
cnf/sundermann/systems_software/XSEngine/Berger2013.cnf, 10000, 2.02958e+132, -1.06871e+132, 5.12787e+132
cnf/sundermann/systems_software/XSEngine/Knüppel2017.cnf, 10000, 7.54729e+133, -9.90338e+133, 2.4998e+134
cnf/sundermann/systems_software/viper/Berger2013.cnf, 10000, 3.3318e+133, -2.68335e+133, 9.34696e+133
cnf/sundermann/systems_software/viper/Knüppel2017.cnf, 10000, 1.68418e+133, -1.64071e+133, 5.00907e+133
cnf/sundermann/systems_software/p2106/Berger2013.cnf, 10000, 1.41739e+123, 1.61247e+122, 2.67354e+123
cnf/sundermann/systems_software/p2106/Knüppel2017.cnf, 10000, 1.65979e+123, -4.31945e+122, 3.75153e+123
cnf/sundermann/systems_software/jmr3904/Berger2013.cnf, 10000, 7.06144e+120, 1.62022e+120, 1.25027e+121
cnf/sundermann/systems_software/jmr3904/Knüppel2017.cnf, 10000, 3.7839e+120, -1.81665e+120, 9.38444e+120
cnf/sundermann/systems_software/pc_i82559/Berger2013.cnf, 10000, 9.58476e+127, -2.01399e+127, 2.11835e+128
cnf/sundermann/systems_software/pc_i82559/Knüppel2017.cnf, 10000, 1.67486e+127, -9.26554e+126, 4.27628e+127
cnf/sundermann/systems_software/csb281/Berger2013.cnf, 10000, 3.01415e+125, -2.77728e+124, 6.30603e+125
cnf/sundermann/systems_software/csb281/Knüppel2017.cnf, 10000, 5.72184e+123, -2.96774e+123, 1.44114e+124
cnf/sundermann/systems_software/cma28x/Berger2013.cnf, 10000, 1.16456e+122, -4.57306e+120, 2.37484e+122
cnf/sundermann/systems_software/cma28x/Knüppel2017.cnf, 10000, 3.07563e+122, -2.56906e+122, 8.72032e+122
cnf/sundermann/systems_software/e7t/Berger2013.cnf, 10000, 6.39388e+133, -1.47872e+133, 1.42665e+134
cnf/sundermann/systems_software/e7t/Knüppel2017.cnf, 10000, 4.00826e+133, -2.31875e+133, 1.03353e+134
cnf/sundermann/systems_software/pc_rltk8139/Berger2013.cnf, 10000, 6.24085e+126, -3.05115e+124, 1.25122e+127
