file, #m
r30c150br1000/30.150.76.cnf, 6794
r30c150br1000/30.150.195.cnf, 1699
r30c150br1000/30.150.54.cnf, 4915
r30c150br1000/30.150.157.cnf, 518
r30c150br1000/30.150.145.cnf, 1498
r30c150br1000/30.150.128.cnf, 19262
r30c150br1000/30.150.251.cnf, 19804
r30c150br1000/30.150.164.cnf, 2532
r30c150br1000/30.150.204.cnf, 6042
r30c150br1000/30.150.68.cnf, 18185
r30c150br1000/30.150.38.cnf, 4937
r30c150br1000/30.150.174.cnf, 8846
r30c150br1000/30.150.44.cnf, 3970
r30c150br1000/30.150.183.cnf, 6166
r30c150br1000/30.150.18.cnf, 7446
r30c150br1000/30.150.14.cnf, 1464
r30c150br1000/30.150.31.cnf, 1896
r30c150br1000/30.150.119.cnf, 6917
r30c150br1000/30.150.186.cnf, 3882
r30c150br1000/30.150.265.cnf, 1557
r30c150br1000/30.150.261.cnf, 321
r30c150br1000/30.150.19.cnf, 6126
r30c150br1000/30.150.92.cnf, 1319
r30c150br1000/30.150.110.cnf, 6470
r30c150br1000/30.150.245.cnf, 1771
r30c150br1000/30.150.148.cnf, 2246
r30c150br1000/30.150.46.cnf, 2253
r30c150br1000/30.150.277.cnf, 2724
r30c150br1000/30.150.194.cnf, 6090
r30c150br1000/30.150.239.cnf, 1274
r30c150br1000/30.150.82.cnf, 1531
r30c150br1000/30.150.189.cnf, 28272
r30c150br1000/30.150.139.cnf, 3992
r30c150br1000/30.150.196.cnf, 5014
r30c150br1000/30.150.0.cnf, 9046
r30c150br1000/30.150.37.cnf, 1135
r30c150br1000/30.150.154.cnf, 8625
r30c150br1000/30.150.184.cnf, 11765
r30c150br1000/30.150.296.cnf, 10700
r30c150br1000/30.150.247.cnf, 8193
r30c150br1000/30.150.69.cnf, 473
r30c150br1000/30.150.87.cnf, 12235
r30c150br1000/30.150.136.cnf, 7312
r30c150br1000/30.150.100.cnf, 9582
r30c150br1000/30.150.218.cnf, 663
r30c150br1000/30.150.167.cnf, 2518
r30c150br1000/30.150.141.cnf, 3759
r30c150br1000/30.150.118.cnf, 9482
r30c150br1000/30.150.249.cnf, 753
r30c150br1000/30.150.283.cnf, 2611
r30c150br1000/30.150.217.cnf, 2887
r30c150br1000/30.150.51.cnf, 2841
r30c150br1000/30.150.29.cnf, 7325
r30c150br1000/30.150.179.cnf, 4260
r30c150br1000/30.150.88.cnf, 6602
r30c150br1000/30.150.58.cnf, 1743
r30c150br1000/30.150.16.cnf, 5594
r30c150br1000/30.150.238.cnf, 4104
r30c150br1000/30.150.205.cnf, 15528
r30c150br1000/30.150.113.cnf, 10374
r30c150br1000/30.150.107.cnf, 5770
r30c150br1000/30.150.203.cnf, 6106
r30c150br1000/30.150.17.cnf, 6115
r30c150br1000/30.150.149.cnf, 3511
r30c150br1000/30.150.47.cnf, 1118
r30c150br1000/30.150.111.cnf, 11279
r30c150br1000/30.150.108.cnf, 7756
r30c150br1000/30.150.97.cnf, 6281
r30c150br1000/30.150.98.cnf, 2687
r30c150br1000/30.150.214.cnf, 1793
r30c150br1000/30.150.61.cnf, 630
r30c150br1000/30.150.198.cnf, 648
r30c150br1000/30.150.65.cnf, 20178
r30c150br1000/30.150.175.cnf, 8121
r30c150br1000/30.150.36.cnf, 3277
r30c150br1000/30.150.80.cnf, 2882
r30c150br1000/30.150.162.cnf, 5940
r30c150br1000/30.150.70.cnf, 3827
r30c150br1000/30.150.78.cnf, 2011
r30c150br1000/30.150.151.cnf, 7637
r30c150br1000/30.150.192.cnf, 5508
r30c150br1000/30.150.193.cnf, 625
r30c150br1000/30.150.133.cnf, 4606
r30c150br1000/30.150.229.cnf, 26326
r30c150br1000/30.150.109.cnf, 3112
r30c150br1000/30.150.22.cnf, 2054
r30c150br1000/30.150.21.cnf, 13899
r30c150br1000/30.150.63.cnf, 785
r30c150br1000/30.150.55.cnf, 2067
r30c150br1000/30.150.266.cnf, 7488
r30c150br1000/30.150.138.cnf, 4024
r30c150br1000/30.150.71.cnf, 8047
r30c150br1000/30.150.212.cnf, 1707
r30c150br1000/30.150.73.cnf, 4646
r30c150br1000/30.150.101.cnf, 15954
r30c150br1000/30.150.293.cnf, 3299
r30c150br1000/30.150.152.cnf, 14332
r30c150br1000/30.150.90.cnf, 3689
r30c150br1000/30.150.270.cnf, 3883
r30c150br1000/30.150.278.cnf, 4434
r30c150br1000/30.150.156.cnf, 2474
r30c150br1000/30.150.5.cnf, 11960
r30c150br1000/30.150.23.cnf, 2960
r30c150br1000/30.150.182.cnf, 1243
r30c150br1000/30.150.166.cnf, 11786
r30c150br1000/30.150.104.cnf, 12921
r30c150br1000/30.150.286.cnf, 1328
r30c150br1000/30.150.169.cnf, 1776
r30c150br1000/30.150.43.cnf, 207
r30c150br1000/30.150.177.cnf, 9210
r30c150br1000/30.150.42.cnf, 6589
r30c150br1000/30.150.231.cnf, 5086
r30c150br1000/30.150.275.cnf, 5912
r30c150br1000/30.150.187.cnf, 7886
r30c150br1000/30.150.288.cnf, 15097
r30c150br1000/30.150.53.cnf, 4452
r30c150br1000/30.150.159.cnf, 3401
r30c150br1000/30.150.171.cnf, 1017
r30c150br1000/30.150.172.cnf, 5238
r30c150br1000/30.150.93.cnf, 5345
r30c150br1000/30.150.32.cnf, 3714
r30c150br1000/30.150.264.cnf, 1479
r30c150br1000/30.150.150.cnf, 1321
r30c150br1000/30.150.121.cnf, 6786
r30c150br1000/30.150.91.cnf, 5455
r30c150br1000/30.150.2.cnf, 13211
r30c150br1000/30.150.241.cnf, 9402
r30c150br1000/30.150.12.cnf, 2023
r30c150br1000/30.150.243.cnf, 7059
r30c150br1000/30.150.294.cnf, 522
r30c150br1000/30.150.176.cnf, 10863
r30c150br1000/30.150.234.cnf, 3813
r30c150br1000/30.150.153.cnf, 3214
r30c150br1000/30.150.280.cnf, 8508
r30c150br1000/30.150.161.cnf, 4792
r30c150br1000/30.150.67.cnf, 2303
r30c150br1000/30.150.124.cnf, 7168
r30c150br1000/30.150.74.cnf, 272
r30c150br1000/30.150.147.cnf, 1392
r30c150br1000/30.150.144.cnf, 2283
r30c150br1000/30.150.263.cnf, 31605
r30c150br1000/30.150.224.cnf, 5894
r30c150br1000/30.150.216.cnf, 3741
r30c150br1000/30.150.291.cnf, 4400
r30c150br1000/30.150.125.cnf, 2119
r30c150br1000/30.150.165.cnf, 7133
r30c150br1000/30.150.28.cnf, 30214
r30c150br1000/30.150.126.cnf, 2934
r30c150br1000/30.150.34.cnf, 3847
r30c150br1000/30.150.158.cnf, 4909
r30c150br1000/30.150.295.cnf, 1566
r30c150br1000/30.150.173.cnf, 3786
r30c150br1000/30.150.228.cnf, 8961
r30c150br1000/30.150.11.cnf, 4287
r30c150br1000/30.150.233.cnf, 998
r30c150br1000/30.150.72.cnf, 6416
r30c150br1000/30.150.227.cnf, 3751
r30c150br1000/30.150.188.cnf, 3817
r30c150br1000/30.150.35.cnf, 15835
r30c150br1000/30.150.246.cnf, 2068
r30c150br1000/30.150.262.cnf, 6356
r30c150br1000/30.150.102.cnf, 12003
r30c150br1000/30.150.220.cnf, 4071
r30c150br1000/30.150.96.cnf, 10127
r30c150br1000/30.150.298.cnf, 4064
r30c150br1000/30.150.115.cnf, 5546
r30c150br1000/30.150.168.cnf, 3403
r30c150br1000/30.150.260.cnf, 10868
r30c150br1000/30.150.155.cnf, 1606
r30c150br1000/30.150.114.cnf, 2569
r30c150br1000/30.150.129.cnf, 5085
r30c150br1000/30.150.146.cnf, 7027
r30c150br1000/30.150.122.cnf, 11350
r30c150br1000/30.150.206.cnf, 3958
r30c150br1000/30.150.252.cnf, 3703
r30c150br1000/30.150.190.cnf, 7017
r30c150br1000/30.150.272.cnf, 20653
r30c150br1000/30.150.10.cnf, 1078
r30c150br1000/30.150.240.cnf, 1948
r30c150br1000/30.150.112.cnf, 43336
r30c150br1000/30.150.257.cnf, 3899
r30c150br1000/30.150.6.cnf, 681
r30c150br1000/30.150.232.cnf, 2527
r30c150br1000/30.150.237.cnf, 4838
r30c150br1000/30.150.26.cnf, 2901
r30c150br1000/30.150.276.cnf, 5117
r30c150br1000/30.150.210.cnf, 1514
r30c150br1000/30.150.160.cnf, 2356
r30c150br1000/30.150.290.cnf, 3635
r30c150br1000/30.150.130.cnf, 1794
r30c150br1000/30.150.57.cnf, 2453
r30c150br1000/30.150.3.cnf, 1540
r30c150br1000/30.150.258.cnf, 4300
r30c150br1000/30.150.62.cnf, 5484
r30c150br1000/30.150.199.cnf, 17459
r30c150br1000/30.150.116.cnf, 534
r30c150br1000/30.150.143.cnf, 3238
r30c150br1000/30.150.250.cnf, 3273
r30c150br1000/30.150.200.cnf, 3624
r30c150br1000/30.150.282.cnf, 3101
r30c150br1000/30.150.94.cnf, 9677
r30c150br1000/30.150.60.cnf, 3276
r30c150br1000/30.150.135.cnf, 10495
r30c150br1000/30.150.45.cnf, 466
r30c150br1000/30.150.215.cnf, 2366
r30c150br1000/30.150.132.cnf, 6179
r30c150br1000/30.150.131.cnf, 20461
r30c150br1000/30.150.59.cnf, 2809
r30c150br1000/30.150.95.cnf, 5421
r30c150br1000/30.150.281.cnf, 6448
r30c150br1000/30.150.273.cnf, 2082
r30c150br1000/30.150.279.cnf, 4603
r30c150br1000/30.150.269.cnf, 1551
r30c150br1000/30.150.292.cnf, 3702
r30c150br1000/30.150.40.cnf, 13526
r30c150br1000/30.150.236.cnf, 2188
r30c150br1000/30.150.254.cnf, 1395
r30c150br1000/30.150.297.cnf, 21958
r30c150br1000/30.150.117.cnf, 9190
r30c150br1000/30.150.244.cnf, 4107
r30c150br1000/30.150.27.cnf, 3695
r30c150br1000/30.150.185.cnf, 11710
r30c150br1000/30.150.140.cnf, 2915
r30c150br1000/30.150.86.cnf, 5322
r30c150br1000/30.150.223.cnf, 5265
r30c150br1000/30.150.66.cnf, 145
r30c150br1000/30.150.255.cnf, 474
r30c150br1000/30.150.225.cnf, 1707
r30c150br1000/30.150.142.cnf, 4279
r30c150br1000/30.150.191.cnf, 1755
r30c150br1000/30.150.120.cnf, 10925
r30c150br1000/30.150.123.cnf, 1300
r30c150br1000/30.150.25.cnf, 20865
r30c150br1000/30.150.287.cnf, 5122
r30c150br1000/30.150.253.cnf, 446
r30c150br1000/30.150.83.cnf, 5948
r30c150br1000/30.150.242.cnf, 3833
r30c150br1000/30.150.180.cnf, 806
r30c150br1000/30.150.49.cnf, 11992
r30c150br1000/30.150.178.cnf, 14166
r30c150br1000/30.150.274.cnf, 6533
r30c150br1000/30.150.99.cnf, 4890
r30c150br1000/30.150.285.cnf, 7368
r30c150br1000/30.150.64.cnf, 2303
r30c150br1000/30.150.56.cnf, 5145
r30c150br1000/30.150.15.cnf, 9001
r30c150br1000/30.150.1.cnf, 653
r30c150br1000/30.150.197.cnf, 1088
r30c150br1000/30.150.103.cnf, 7260
r30c150br1000/30.150.81.cnf, 6246
r30c150br1000/30.150.256.cnf, 1103
r30c150br1000/30.150.79.cnf, 5648
r30c150br1000/30.150.170.cnf, 2761
r30c150br1000/30.150.7.cnf, 3289
r30c150br1000/30.150.33.cnf, 633
r30c150br1000/30.150.77.cnf, 1502
r30c150br1000/30.150.248.cnf, 17504
r30c150br1000/30.150.106.cnf, 2892
r30c150br1000/30.150.84.cnf, 4250
r30c150br1000/30.150.202.cnf, 3456
r30c150br1000/30.150.221.cnf, 2486
r30c150br1000/30.150.39.cnf, 5639
r30c150br1000/30.150.24.cnf, 29280
r30c150br1000/30.150.299.cnf, 17651
r30c150br1000/30.150.105.cnf, 1849
r30c150br1000/30.150.134.cnf, 2948
r30c150br1000/30.150.89.cnf, 1794
r30c150br1000/30.150.4.cnf, 2097
r30c150br1000/30.150.289.cnf, 2257
r30c150br1000/30.150.268.cnf, 4828
r30c150br1000/30.150.271.cnf, 1173
r30c150br1000/30.150.50.cnf, 7630
r30c150br1000/30.150.20.cnf, 18668
r30c150br1000/30.150.48.cnf, 19608
r30c150br1000/30.150.211.cnf, 5506
r30c150br1000/30.150.222.cnf, 4178
r30c150br1000/30.150.181.cnf, 6730
r30c150br1000/30.150.230.cnf, 6292
r30c150br1000/30.150.9.cnf, 7208
r30c150br1000/30.150.267.cnf, 4633
r30c150br1000/30.150.284.cnf, 5036
r30c150br1000/30.150.137.cnf, 2178
r30c150br1000/30.150.41.cnf, 1217
r30c150br1000/30.150.30.cnf, 9556
r30c150br1000/30.150.163.cnf, 797
r30c150br1000/30.150.226.cnf, 18609
r30c150br1000/30.150.52.cnf, 1467
r30c150br1000/30.150.208.cnf, 880
r30c150br1000/30.150.13.cnf, 3108
r30c150br1000/30.150.207.cnf, 209
r30c150br1000/30.150.219.cnf, 9724
r30c150br1000/30.150.235.cnf, 4752
r30c150br1000/30.150.201.cnf, 2944
r30c150br1000/30.150.75.cnf, 2823
r30c150br1000/30.150.8.cnf, 409
r30c150br1000/30.150.85.cnf, 7608
r30c150br1000/30.150.213.cnf, 5318
r30c150br1000/30.150.209.cnf, 1031
r30c150br1000/30.150.127.cnf, 18433
r30c150br1000/30.150.259.cnf, 22882
