file, #m
r50c200/50.200.264.cnf, 214
r50c200/50.200.108.cnf, 1408
r50c200/50.200.252.cnf, 100
r50c200/50.200.271.cnf, 15
r50c200/50.200.28.cnf, 1060
r50c200/50.200.82.cnf, 40
r50c200/50.200.277.cnf, 692
r50c200/50.200.262.cnf, 205
r50c200/50.200.163.cnf, 57
r50c200/50.200.102.cnf, 4988
r50c200/50.200.258.cnf, 2299
r50c200/50.200.84.cnf, 390
r50c200/50.200.44.cnf, 36
r50c200/50.200.149.cnf, 3178
r50c200/50.200.68.cnf, 80
r50c200/50.200.179.cnf, 2411
r50c200/50.200.45.cnf, 92
r50c200/50.200.233.cnf, 3
r50c200/50.200.93.cnf, 944
r50c200/50.200.57.cnf, 8785
r50c200/50.200.56.cnf, 13436
r50c200/50.200.6.cnf, 36
r50c200/50.200.12.cnf, 10
r50c200/50.200.288.cnf, 37
r50c200/50.200.50.cnf, 1477
r50c200/50.200.276.cnf, 42
r50c200/50.200.212.cnf, 20
r50c200/50.200.116.cnf, 135
r50c200/50.200.178.cnf, 2268
r50c200/50.200.98.cnf, 4
r50c200/50.200.143.cnf, 3830
r50c200/50.200.150.cnf, 969
r50c200/50.200.266.cnf, 12002
r50c200/50.200.226.cnf, 6430
r50c200/50.200.198.cnf, 2271
r50c200/50.200.64.cnf, 256
r50c200/50.200.282.cnf, 181
r50c200/50.200.256.cnf, 3
r50c200/50.200.8.cnf, 48
r50c200/50.200.2.cnf, 68
r50c200/50.200.142.cnf, 381
r50c200/50.200.248.cnf, 134
r50c200/50.200.231.cnf, 1432
r50c200/50.200.272.cnf, 15946
r50c200/50.200.202.cnf, 88
r50c200/50.200.16.cnf, 1065
r50c200/50.200.51.cnf, 56
r50c200/50.200.138.cnf, 8218
r50c200/50.200.165.cnf, 363
r50c200/50.200.54.cnf, 2910
r50c200/50.200.208.cnf, 68
r50c200/50.200.134.cnf, 48
r50c200/50.200.169.cnf, 440
r50c200/50.200.235.cnf, 5449
r50c200/50.200.35.cnf, 11
r50c200/50.200.293.cnf, 1899
r50c200/50.200.147.cnf, 523
r50c200/50.200.174.cnf, 20
r50c200/50.200.86.cnf, 10
r50c200/50.200.34.cnf, 7417
r50c200/50.200.63.cnf, 962
r50c200/50.200.297.cnf, 789
r50c200/50.200.70.cnf, 8879
r50c200/50.200.31.cnf, 663
r50c200/50.200.135.cnf, 3205
r50c200/50.200.22.cnf, 1104
r50c200/50.200.97.cnf, 535
r50c200/50.200.71.cnf, 2242
r50c200/50.200.27.cnf, 2491
r50c200/50.200.187.cnf, 57
r50c200/50.200.240.cnf, 153
r50c200/50.200.140.cnf, 712
r50c200/50.200.292.cnf, 426
r50c200/50.200.133.cnf, 3529
r50c200/50.200.224.cnf, 11
r50c200/50.200.29.cnf, 2031
r50c200/50.200.148.cnf, 668
r50c200/50.200.33.cnf, 42064
r50c200/50.200.7.cnf, 169
r50c200/50.200.279.cnf, 352
r50c200/50.200.126.cnf, 1264
r50c200/50.200.216.cnf, 7590
r50c200/50.200.164.cnf, 2265
