file, amc, state, mem, time
cnf/plazar/Blasted_Real/blasted_case_1_b12_even1.cnf, 178405961588244985132285746181186892047843328, done, 46350 , 11.78898
cnf/plazar/Blasted_Real/blasted_case123.cnf, 2147483648, done, 14991 , 0.7967799999999999
cnf/plazar/Blasted_Real/blasted_squaring26.cnf, 27787264, done, 14991 , 1.871684
cnf/plazar/Blasted_Real/blasted_case33.cnf, 1024, done, 14991 , 0.1417429
cnf/plazar/Blasted_Real/blasted_case41.cnf, 36028797018963968, done, 14991 , 1.325493
cnf/plazar/Blasted_Real/blasted_case119.cnf, 35184372088832, done, 14991 , 1.1495710000000001
cnf/plazar/Blasted_Real/blasted_TR_b14_2_linear.cnf, 10141204801825835211973625643008, done, 28270 , 5.55873
cnf/plazar/Blasted_Real/blasted_case144.cnf, 4835703278458516698824704, done, 19943 , 3.103833
cnf/plazar/Blasted_Real/blasted_case44.cnf, 65536, done, 14991 , 0.530977
cnf/plazar/Blasted_Real/blasted_TR_b14_even_linear.cnf, 3794275180128377091639574036764685364535950857523710002444946112771297432041422848, done, 346304 , 50.355199999999996
cnf/plazar/Blasted_Real/blasted_case46.cnf, 65536, done, 14991 , 0.6164729999999999
cnf/plazar/Blasted_Real/blasted_squaring60.cnf, 26328072917139296674479506920917608079723773850137277813577744384, done, 125620 , 39.69157
cnf/plazar/Blasted_Real/blasted_case134.cnf, 262144, done, 14991 , 0.3442931
cnf/plazar/Blasted_Real/blasted_case100.cnf, 2097152, done, 14991 , 0.38734579999999996
cnf/plazar/Blasted_Real/blasted_squaring11.cnf, 274877906944, done, 18595 , 3.317741
cnf/plazar/Blasted_Real/blasted_case23.cnf, 2048, done, 14991 , 0.2048139
cnf/plazar/Blasted_Real/blasted_case_1_b11_1.cnf, 274877906944, done, 14991 , 1.1031039999999999
cnf/plazar/Blasted_Real/blasted_squaring40.cnf, 10889035741470030830827987437816582766592, done, 83587 , 18.013560000000002
cnf/plazar/Blasted_Real/blasted_case59.cnf, 35328, done, 14991 , 0.3159307
cnf/plazar/Blasted_Real/blasted_case39.cnf, 36028797018963968, done, 14991 , 1.317852
cnf/plazar/Blasted_Real/blasted_case_0_b12_even1.cnf, 178405961588244985132285746181186892047843328, done, 40783 , 11.774750000000001
cnf/plazar/Blasted_Real/blasted_squaring41.cnf, 10889035741470030830827987437816582766592, done, 86265 , 18.18832
cnf/plazar/Blasted_Real/blasted_case29.cnf, 256, done, 14991 , 0.05347646
cnf/plazar/Blasted_Real/blasted_case211.cnf, 1208925819614629174706176, done, 20701 , 3.1065370000000003
cnf/plazar/Blasted_Real/blasted_case_3_b14_1.cnf, 4398046511104, done, 14991 , 1.058222
cnf/plazar/Blasted_Real/blasted_case8.cnf, 8388608, done, 14991 , 0.565782
cnf/plazar/Blasted_Real/blasted_case_2_ptb_2.cnf, 151706023262187352489984, done, 45039 , 11.76018
cnf/plazar/Blasted_Real/blasted_case214.cnf, 151115727451828646838272, done, 19218 , 2.277114
cnf/plazar/Blasted_Real/blasted_case47.cnf, 262144, done, 14991 , 0.38820639999999995
