file, mod
r30c150b1000/30.150.249.cnf, 0
r30c150b1000/30.150.0.cnf, 0
r30c150b1000/30.150.277.cnf, 0
r30c150b1000/30.150.93.cnf, 0
r30c150b1000/30.150.5.cnf, 0
r30c150b1000/30.150.40.cnf, 0
r30c150b1000/30.150.9.cnf, 0
r30c150b1000/30.150.27.cnf, 0
r30c150b1000/30.150.19.cnf, 0
r30c150b1000/30.150.228.cnf, 0
r30c150b1000/30.150.156.cnf, 0
r30c150b1000/30.150.192.cnf, 0
r30c150b1000/30.150.103.cnf, 0
r30c150b1000/30.150.191.cnf, 0
r30c150b1000/30.150.35.cnf, 0
r30c150b1000/30.150.112.cnf, 0
r30c150b1000/30.150.269.cnf, 0
r30c150b1000/30.150.296.cnf, 0
r30c150b1000/30.150.163.cnf, 0
r30c150b1000/30.150.58.cnf, 0
r30c150b1000/30.150.25.cnf, 0
r30c150b1000/30.150.257.cnf, 0
r30c150b1000/30.150.251.cnf, 0
r30c150b1000/30.150.241.cnf, 0
r30c150b1000/30.150.44.cnf, 0
r30c150b1000/30.150.289.cnf, 0
r30c150b1000/30.150.121.cnf, 0
r30c150b1000/30.150.248.cnf, 0
r30c150b1000/30.150.293.cnf, 0
r30c150b1000/30.150.104.cnf, 0
r30c150b1000/30.150.39.cnf, 0
r30c150b1000/30.150.15.cnf, 0
r30c150b1000/30.150.190.cnf, 0
r30c150b1000/30.150.252.cnf, 0
r30c150b1000/30.150.126.cnf, 0
r30c150b1000/30.150.129.cnf, 0
r30c150b1000/30.150.81.cnf, 0
r30c150b1000/30.150.67.cnf, 0
r30c150b1000/30.150.37.cnf, 0
r30c150b1000/30.150.288.cnf, 0
r30c150b1000/30.150.68.cnf, 0
r30c150b1000/30.150.155.cnf, 0
r30c150b1000/30.150.84.cnf, 0
r30c150b1000/30.150.276.cnf, 0
r30c150b1000/30.150.45.cnf, 0
r30c150b1000/30.150.49.cnf, 0
r30c150b1000/30.150.280.cnf, 0
r30c150b1000/30.150.224.cnf, 0
r30c150b1000/30.150.55.cnf, 0
r30c150b1000/30.150.1.cnf, 0.072219
r30c150b1000/30.150.287.cnf, 0
r30c150b1000/30.150.273.cnf, 0
r30c150b1000/30.150.41.cnf, 0
r30c150b1000/30.150.198.cnf, 0
r30c150b1000/30.150.11.cnf, 0
r30c150b1000/30.150.196.cnf, 0
r30c150b1000/30.150.138.cnf, 0
r30c150b1000/30.150.8.cnf, 0
r30c150b1000/30.150.258.cnf, 0
r30c150b1000/30.150.243.cnf, 0
r30c150b1000/30.150.266.cnf, 0
r30c150b1000/30.150.239.cnf, 0
r30c150b1000/30.150.189.cnf, 0
r30c150b1000/30.150.291.cnf, 0
r30c150b1000/30.150.86.cnf, 0
r30c150b1000/30.150.95.cnf, 0
r30c150b1000/30.150.100.cnf, 0
r30c150b1000/30.150.110.cnf, 0
r30c150b1000/30.150.50.cnf, 0
r30c150b1000/30.150.175.cnf, 0
r30c150b1000/30.150.263.cnf, 0
r30c150b1000/30.150.256.cnf, 0
r30c150b1000/30.150.272.cnf, 0.0957514
r30c150b1000/30.150.31.cnf, 0
