file, mod
r30c114/30.114.268.cnf, 0
r30c114/30.114.23.cnf, 0
r30c114/30.114.255.cnf, 0.0963373
r30c114/30.114.71.cnf, 0
r30c114/30.114.252.cnf, 0
r30c114/30.114.103.cnf, 0
r30c114/30.114.231.cnf, 0
r30c114/30.114.233.cnf, 0
r30c114/30.114.239.cnf, 0.0892582
r30c114/30.114.62.cnf, 0
r30c114/30.114.209.cnf, 0.114018
r30c114/30.114.281.cnf, 0
r30c114/30.114.64.cnf, 0
r30c114/30.114.100.cnf, 0
r30c114/30.114.289.cnf, 0.113881
r30c114/30.114.97.cnf, 0
r30c114/30.114.61.cnf, 0.102476
r30c114/30.114.101.cnf, 0.119456
r30c114/30.114.54.cnf, 0
r30c114/30.114.274.cnf, 0
r30c114/30.114.223.cnf, 0
r30c114/30.114.50.cnf, 0.129117
r30c114/30.114.47.cnf, 0
r30c114/30.114.221.cnf, 0
r30c114/30.114.249.cnf, 0.130963
r30c114/30.114.84.cnf, 0.154697
r30c114/30.114.229.cnf, 0
r30c114/30.114.9.cnf, 0
r30c114/30.114.235.cnf, 0.12238
r30c114/30.114.91.cnf, 0
r30c114/30.114.123.cnf, 0
r30c114/30.114.70.cnf, 0.10776
r30c114/30.114.158.cnf, 0
r30c114/30.114.292.cnf, 0.0596936
r30c114/30.114.77.cnf, 0
r30c114/30.114.135.cnf, 0
r30c114/30.114.6.cnf, 0
r30c114/30.114.114.cnf, 0
r30c114/30.114.45.cnf, 0
r30c114/30.114.136.cnf, 0
r30c114/30.114.144.cnf, 0.11265
r30c114/30.114.22.cnf, 0
r30c114/30.114.99.cnf, 0
r30c114/30.114.129.cnf, 0.131511
r30c114/30.114.24.cnf, 0
r30c114/30.114.154.cnf, 0
r30c114/30.114.205.cnf, 0
r30c114/30.114.58.cnf, 0.13358
r30c114/30.114.133.cnf, 0
r30c114/30.114.283.cnf, 0
r30c114/30.114.118.cnf, 0
r30c114/30.114.3.cnf, 0
r30c114/30.114.148.cnf, 0
r30c114/30.114.65.cnf, 0
r30c114/30.114.225.cnf, 0
r30c114/30.114.119.cnf, 0
r30c114/30.114.125.cnf, 0
r30c114/30.114.87.cnf, 0
r30c114/30.114.38.cnf, 0
r30c114/30.114.190.cnf, 0
r30c114/30.114.126.cnf, 0
r30c114/30.114.30.cnf, 0
r30c114/30.114.2.cnf, 0.0833333
r30c114/30.114.53.cnf, 0.108119
r30c114/30.114.137.cnf, 0
r30c114/30.114.27.cnf, 0.0906262
r30c114/30.114.13.cnf, 0
r30c114/30.114.139.cnf, 0.0847269
r30c114/30.114.155.cnf, 0.0612496
r30c114/30.114.210.cnf, 0
r30c114/30.114.138.cnf, 0
r30c114/30.114.194.cnf, 0
r30c114/30.114.279.cnf, 0
r30c114/30.114.63.cnf, 0
r30c114/30.114.173.cnf, 0.107572
r30c114/30.114.271.cnf, 0
r30c114/30.114.159.cnf, 0
