file, kus_mc, d4_mc
omega.bak/Blasted_Real/blasted_case_2_b14_3.cnf, 137438953472, 137438953472
omega.bak/Blasted_Real/blasted_case102.cnf, 256, 256
omega.bak/Blasted_Real/blasted_case41.cnf, 595073409058867198803968, 36028797018963968
omega.bak/Blasted_Real/blasted_case32.cnf, 1024, 1024
omega.bak/Blasted_Real/blasted_case_0_b12_1.cnf, 14142461154609243, 1073741824
omega.bak/Blasted_Real/blasted_case25.cnf, 512, 512
omega.bak/Blasted_Real/blasted_case201.cnf, 4398046511104, 4398046511104
omega.bak/Blasted_Real/blasted_case125.cnf, 4294967296, 4294967296
omega.bak/Blasted_Real/blasted_case124.cnf, 268435456, 268435456
omega.bak/Blasted_Real/blasted_case33.cnf, 1024, 1024
omega.bak/Blasted_Real/blasted_case100.cnf, 2097152, 2097152
omega.bak/Blasted_Real/blasted_case5.cnf, 67108864, 67108864
omega.bak/Blasted_Real/blasted_case26.cnf, 1024, 1024
omega.bak/Blasted_Real/blasted_case29.cnf, 256, 256
omega.bak/Blasted_Real/blasted_case53.cnf, 262144, 262144
omega.bak/Blasted_Real/blasted_case112.cnf, 557024, 32768
omega.bak/Blasted_Real/blasted_case_3_b14_2.cnf, 1099511627776, 1099511627776
omega.bak/Blasted_Real/blasted_case59_1.cnf, 1073776896, 35328
omega.bak/Blasted_Real/blasted_case127.cnf, 64, 64
omega.bak/Blasted_Real/blasted_case106.cnf, 4398046511104, 4398046511104
omega.bak/Blasted_Real/blasted_case204.cnf, 70368744177664, 70368744177664
omega.bak/Blasted_Real/blasted_case_2_b14_1.cnf, 4398046511104, 4398046511104
omega.bak/Blasted_Real/blasted_case15.cnf, 36893488147419103232, 36893488147419103232
omega.bak/Blasted_Real/blasted_case135.cnf, 2097152, 2097152
omega.bak/Blasted_Real/blasted_case9.cnf, 562949953421312, 562949953421312
omega.bak/Blasted_Real/blasted_case3.cnf, 4194304, 4194304
omega.bak/Blasted_Real/blasted_case137.cnf, 262144, 262144
omega.bak/Blasted_Real/blasted_case61.cnf, 386995882393576, 281474976710656
omega.bak/Blasted_Real/blasted_case108.cnf, 65536, 65536
omega.bak/Blasted_Real/blasted_case134.cnf, 262144, 262144
omega.bak/Blasted_Real/blasted_case63.cnf, 100697856, 35328
omega.bak/Blasted_Real/blasted_case40.cnf, 595073409058867198803968, 36028797018963968
omega.bak/Blasted_Real/blasted_case68.cnf, 6814688, 131072
omega.bak/Blasted_Real/blasted_case_3_b14_1.cnf, 4398046511104, 4398046511104
omega.bak/Blasted_Real/blasted_case10.cnf, 36893488147419103232, 36893488147419103232
omega.bak/Blasted_Real/blasted_case2.cnf, 4194304, 4194304
omega.bak/Blasted_Real/blasted_case200.cnf, 4, 4
omega.bak/Blasted_Real/blasted_case_1_b14_1.cnf, 4398046511104, 4398046511104
omega.bak/Blasted_Real/blasted_case21.cnf, 8192, 8192
omega.bak/Blasted_Real/blasted_case24.cnf, 256, 256
omega.bak/Blasted_Real/blasted_case60.cnf, 16, 16
omega.bak/Blasted_Real/blasted_case128.cnf, 64, 64
omega.bak/Blasted_Real/blasted_case206.cnf, 4, 4
omega.bak/Blasted_Real/blasted_case31.cnf, 1024, 1024
omega.bak/Blasted_Real/blasted_case_1_b12_1.cnf, 14142463782310389, 1073741824
omega.bak/Blasted_Real/blasted_case115.cnf, 33554432, 33554432
omega.bak/Blasted_Real/blasted_case126.cnf, 2147483648, 2147483648
omega.bak/Blasted_Real/blasted_case105.cnf, 2199023255552, 2199023255552
omega.bak/Blasted_Real/blasted_squaring51.cnf, 193428990700713714216055944, 16777216
omega.bak/Blasted_Real/blasted_case47.cnf, 262144, 262144
omega.bak/Blasted_Real/blasted_case114.cnf, 33554432, 33554432
omega.bak/Blasted_Real/blasted_case43.cnf, 16384, 16384
omega.bak/Blasted_Real/blasted_case27.cnf, 1024, 1024
omega.bak/Blasted_Real/blasted_case51.cnf, 262144, 262144
omega.bak/Blasted_Real/blasted_case203.cnf, 70368744177664, 70368744177664
omega.bak/Blasted_Real/blasted_case116.cnf, 137338112, 33554432
omega.bak/Blasted_Real/blasted_case101.cnf, 2097152, 2097152
omega.bak/Blasted_Real/blasted_case34.cnf, 68719476736, 68719476736
omega.bak/Blasted_Real/blasted_case146.cnf, 70368744177664, 70368744177664
omega.bak/Blasted_Real/blasted_case131.cnf, 24691539968, 6174015488
omega.bak/Blasted_Real/blasted_case59.cnf, 1073776896, 35328
omega.bak/Blasted_Real/blasted_case45.cnf, 16384, 16384
omega.bak/Blasted_Real/blasted_case23.cnf, 2048, 2048
omega.bak/Blasted_Real/blasted_case36.cnf, 786702, 276
omega.bak/Blasted_Real/blasted_case109.cnf, 1048576, 1048576
omega.bak/Blasted_Real/blasted_case7.cnf, 131072, 131072
omega.bak/Blasted_Real/blasted_case136.cnf, 549755813888, 549755813888
omega.bak/Blasted_Real/blasted_case64.cnf, 35328, 35328
omega.bak/Blasted_Real/blasted_case46.cnf, 65536, 65536
omega.bak/Blasted_Real/blasted_case145.cnf, 70368744177664, 70368744177664
omega.bak/Blasted_Real/blasted_case39.cnf, 595073566407874937077760, 36028797018963968
omega.bak/Blasted_Real/blasted_case118.cnf, 32768, 32768
omega.bak/29.sk_3_45.cnf, 347892350976, 347892350976
omega.bak/109.sk_4_36.cnf, 889192448, 889192448
omega.bak/57.sk_4_64.cnf, 9007199254740992, 9007199254740992
omega.bak/tutorial1.sk_1_1.cnf, 2, 2
omega.bak/110.sk_3_88.cnf, 18889465931478580854784, 18889465931478580854784
omega.bak/19.sk_3_48.cnf, 2959802892288, 2959802892288
