file,mc
r30cVqV/95.0.9.2.cnf, 3872
r30cVqV/97.0.6.2.cnf, 7904
r30cVqV/94.0.5.1.cnf, 3311
r30cVqV/114.0.6.2.cnf, 166
r30cVqV/93.0.3.2.cnf, 1171
r30cVqV/106.0.5.1.cnf, 817
r30cVqV/90.0.3.2.cnf, 3266
r30cVqV/104.0.3.1.cnf, 852
r30cVqV/99.0.6.1.cnf, 626
r30cVqV/96.0.2.2.cnf, 184
r30cVqV/103.0.2.1.cnf, 3312
r30cVqV/92.0.1.1.cnf, 1217
r30cVqV/102.0.2.2.cnf, 355
r30cVqV/111.0.2.1.cnf, 608
r30cVqV/109.0.5.2.cnf, 200
r30cVqV/91.0.1.2.cnf, 5308
r30cVqV/112.0.4.1.cnf, 22
r30cVqV/109.0.2.1.cnf, 185
r30cVqV/108.0.3.2.cnf, 48
r30cVqV/95.0.9.1.cnf, 13524
r30cVqV/104.0.1.2.cnf, 125
r30cVqV/107.0.8.2.cnf, 1700
r30cVqV/98.0.5.2.cnf, 5762
r30cVqV/103.0.1.1.cnf, 483
r30cVqV/111.0.9.1.cnf, 435
r30cVqV/94.0.4.1.cnf, 5044
r30cVqV/99.0.5.2.cnf, 412
r30cVqV/91.0.3.2.cnf, 2265
r30cVqV/93.0.4.1.cnf, 14237
r30cVqV/109.0.9.2.cnf, 7488
r30cVqV/112.0.2.1.cnf, 46
r30cVqV/107.0.6.2.cnf, 2143
r30cVqV/97.0.8.1.cnf, 3000
r30cVqV/93.0.2.2.cnf, 14548
r30cVqV/106.0.4.1.cnf, 13886
r30cVqV/104.0.4.1.cnf, 467
r30cVqV/112.0.1.1.cnf, 386
r30cVqV/92.0.4.1.cnf, 2744
r30cVqV/114.0.3.2.cnf, 62
r30cVqV/98.0.7.2.cnf, 1156
r30cVqV/90.0.2.2.cnf, 1464
r30cVqV/110.0.3.1.cnf, 688
r30cVqV/95.0.4.2.cnf, 3772
r30cVqV/99.0.1.1.cnf, 3265
r30cVqV/103.0.8.1.cnf, 648
r30cVqV/94.0.1.2.cnf, 903
r30cVqV/107.0.1.2.cnf, 58
r30cVqV/114.0.2.1.cnf, 17
r30cVqV/98.0.6.2.cnf, 384
r30cVqV/105.0.9.2.cnf, 1710
r30cVqV/110.0.7.1.cnf, 1470
r30cVqV/105.0.9.1.cnf, 1248
r30cVqV/109.0.1.2.cnf, 1200
r30cVqV/98.0.1.1.cnf, 1162
r30cVqV/98.0.3.2.cnf, 275
r30cVqV/109.0.4.1.cnf, 56
r30cVqV/99.0.1.2.cnf, 5320
r30cVqV/110.0.4.2.cnf, 386
r30cVqV/101.0.7.2.cnf, 2679
r30cVqV/107.0.7.1.cnf, 198
r30cVqV/101.0.1.2.cnf, 124
r30cVqV/112.0.9.1.cnf, 1320
r30cVqV/100.0.9.1.cnf, 420
r30cVqV/95.0.3.1.cnf, 505
r30cVqV/97.0.1.1.cnf, 2641
r30cVqV/103.0.2.2.cnf, 763
r30cVqV/111.0.6.2.cnf, 380
r30cVqV/100.0.5.1.cnf, 519
r30cVqV/101.0.2.1.cnf, 3707
r30cVqV/94.0.2.2.cnf, 7505
r30cVqV/97.0.3.1.cnf, 2965
r30cVqV/102.0.1.2.cnf, 5755
r30cVqV/109.0.6.2.cnf, 688
r30cVqV/98.0.3.1.cnf, 21654
r30cVqV/104.0.2.1.cnf, 336
r30cVqV/110.0.8.1.cnf, 440
r30cVqV/108.0.3.1.cnf, 19
r30cVqV/102.0.9.1.cnf, 858
r30cVqV/104.0.7.1.cnf, 3510
r30cVqV/94.0.7.1.cnf, 450
r30cVqV/99.0.8.2.cnf, 1344
r30cVqV/104.0.6.2.cnf, 2250
r30cVqV/92.0.4.2.cnf, 4700
r30cVqV/100.0.2.1.cnf, 566
r30cVqV/96.0.9.2.cnf, 4675
r30cVqV/109.0.3.2.cnf, 357
r30cVqV/91.0.6.2.cnf, 714
r30cVqV/105.0.7.1.cnf, 342
r30cVqV/114.0.3.1.cnf, 24
r30cVqV/96.0.9.1.cnf, 2520
r30cVqV/102.0.2.1.cnf, 1238
r30cVqV/99.0.7.2.cnf, 396
r30cVqV/100.0.7.1.cnf, 252
r30cVqV/102.0.8.1.cnf, 25160
r30cVqV/97.0.9.2.cnf, 22848
r30cVqV/95.0.1.1.cnf, 1283
r30cVqV/90.0.5.2.cnf, 3091
r30cVqV/107.0.3.2.cnf, 28
r30cVqV/98.0.9.1.cnf, 2520
r30cVqV/113.0.4.1.cnf, 4966
r30cVqV/114.0.7.1.cnf, 156
r30cVqV/114.0.4.1.cnf, 198
r30cVqV/107.0.4.2.cnf, 758
r30cVqV/110.0.2.1.cnf, 109
r30cVqV/113.0.1.1.cnf, 28
r30cVqV/113.0.5.1.cnf, 136
r30cVqV/101.0.8.2.cnf, 140
r30cVqV/111.0.6.1.cnf, 2153
r30cVqV/112.0.2.2.cnf, 125
r30cVqV/110.0.6.2.cnf, 269
r30cVqV/112.0.8.1.cnf, 38
r30cVqV/96.0.6.1.cnf, 2455
r30cVqV/100.0.5.2.cnf, 11028
r30cVqV/111.0.4.2.cnf, 4
r30cVqV/105.0.3.1.cnf, 440
r30cVqV/91.0.9.2.cnf, 10780
r30cVqV/90.0.8.2.cnf, 3857
r30cVqV/101.0.4.2.cnf, 1546
r30cVqV/91.0.1.1.cnf, 4810
r30cVqV/103.0.9.2.cnf, 1800
r30cVqV/99.0.4.2.cnf, 2578
r30cVqV/104.0.6.1.cnf, 2181
r30cVqV/108.0.7.1.cnf, 270
r30cVqV/97.0.5.1.cnf, 2111
r30cVqV/112.0.8.2.cnf, 324
r30cVqV/105.0.1.2.cnf, 570
r30cVqV/91.0.8.1.cnf, 13662
r30cVqV/96.0.4.2.cnf, 3157
r30cVqV/113.0.2.1.cnf, 57
r30cVqV/100.0.9.2.cnf, 17940
r30cVqV/96.0.7.1.cnf, 364
r30cVqV/111.0.9.2.cnf, 24
r30cVqV/108.0.1.1.cnf, 382
r30cVqV/102.0.6.1.cnf, 360
r30cVqV/96.0.3.2.cnf, 3619
